f_of_S,Queries,Time,k,n,trial,dualfit
810.8318753875665,11230,1.138275,20,571,1,1143.6603888171005
1236.248078804333,22060,2.67305,40,571,1,1771.5003196690104
1526.5674926853471,32490,4.865372,60,571,1,2218.5711838392217
1756.922150806392,42520,7.01429,80,571,1,2493.775720247959
1940.9844284235444,52150,9.732068,100,571,1,2754.310904415971
2099.2608455576396,61380,12.470948,120,571,1,2936.3939864583617
2235.9559108871495,70210,15.236526,140,571,1,3097.8280411747696
2349.5330236376585,78640,18.355139,160,571,1,3171.3054683830633
2448.910104723942,86670,21.335384,180,571,1,3277.3321286201935
2537.921364142483,94300,24.777534,200,571,1,3374.4636455842156
